Node,VRF,Network,Next_Hop,Next_Hop_IP,Next_Hop_Interface,Protocol,Metric,Admin_Distance,Tag
r2a1,default,0.0.0.0/0,r1a1,1.1.1.1,dynamic,ibgp,0,200,
r10a99,default,10.10.0.0/16,r1a10,179.10.0.2,dynamic,bgp,0,20,
r10a99,default,99.99.0.1/32,r0a99,99.99.10.1,dynamic,ospf,3,110,
r10a99,default,99.99.10.0/24,,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
r1a99,default,10.10.0.0/16,r10a99,99.99.0.10,dynamic,ibgp,0,200,
r1a99,default,99.99.0.1/32,,AUTO/NONE(-1l),Loopback1,connected,0,0,
r1a10,default,10.10.1.1/32,,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
r1a10,default,10.10.0.0/16,r2a10,10.10.1.2,dynamic,ibgp,0,200,
r1a99,default,99.99.51.0/24,r0a99,99.99.1.1,dynamic,ospf,2,110,
r51a99,default,99.99.0.99/32,r0a99,99.99.51.1,dynamic,ospf,2,110,
r2a1,default,1.1.1.0/24,,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
r51a99,default,99.99.10.0/24,r0a99,99.99.51.1,dynamic,ospf,2,110,
r2a51,default,200.51.1.0/24,,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
r2a51,default,0.0.0.0/0,r1a51,200.51.1.1,dynamic,ibgp,0,200,
r1a99,default,1.1.0.0/16,r1a1,179.1.0.2,dynamic,bgp,0,20,
r0a99,default,99.99.0.51/32,r51a99,99.99.51.2,dynamic,ospf,2,110,
r2a1,default,1.1.0.0/16,,AUTO/NONE(-1l),null_interface,static,0,1,
r1a1,default,1.1.0.0/16,r2a1,1.1.1.2,dynamic,ibgp,0,200,
r2a10,default,0.0.0.0/0,r1a10,10.10.1.1,dynamic,ibgp,0,200,
r1a1,default,1.1.1.0/24,,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
r1a99,default,99.99.1.0/24,,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
r0a99,default,99.99.10.0/24,,AUTO/NONE(-1l),FastEthernet0/1,connected,0,0,
r0a99,default,128.0.0.0/1,r10a99,99.99.0.10,dynamic,ibgp,0,200,
r1a10,default,10.10.1.0/24,,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
r1a99,default,0.0.0.0/0,r0a99,99.99.0.99,dynamic,ibgp,0,200,
r1a51,default,0.0.0.0/0,r51a99,179.51.0.1,dynamic,bgp,0,20,
r2a1,default,1.1.1.2/32,,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
r10a99,default,200.51.0.0/16,r51a99,99.99.0.51,dynamic,ibgp,0,200,
r10a99,default,179.10.0.1/32,,AUTO/NONE(-1l),FastEthernet0/1,local,0,0,
r1a51,default,179.51.0.0/24,,AUTO/NONE(-1l),FastEthernet0/1,connected,0,0,
r1a99,default,99.99.0.10/32,r0a99,99.99.1.1,dynamic,ospf,3,110,
