Node,VRF,Network,Next_Hop,Next_Hop_IP,Next_Hop_Interface,Protocol,Metric,Admin_Distance,Tag
R0A99,default,1.1.0.0/16,,99.99.0.1,dynamic,bgp,0,200,
R0A99,default,99.99.1.0/24,,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
R0A99,default,99.99.0.1/32,,99.99.1.2,dynamic,ospf,2,110,
R0A99,default,99.99.10.0/24,,AUTO/NONE(-1l),FastEthernet0/1,connected,0,0,
R0A99,default,99.99.0.10/32,,99.99.10.2,dynamic,ospf,2,110,
R0A99,default,99.99.51.0/24,,AUTO/NONE(-1l),FastEthernet1/0,connected,0,0,
R0A99,default,99.99.0.51/32,,99.99.51.2,dynamic,ospf,2,110,
R0A99,default,99.99.0.99/32,,AUTO/NONE(-1l),Loopback1,connected,0,0,
R0A99,default,10.10.0.0/16,,99.99.0.10,dynamic,bgp,0,200,
R0A99,default,0.0.0.0/0,,AUTO/NONE(-1l),null_interface,static,0,1,
R0A99,default,200.51.0.0/16,,99.99.0.51,dynamic,bgp,0,200,
R10A99,default,1.1.0.0/16,,99.99.0.1,dynamic,bgp,0,200,
R10A99,default,99.99.1.0/24,,99.99.10.1,dynamic,ospf,2,110,
R10A99,default,99.99.0.1/32,,99.99.10.1,dynamic,ospf,3,110,
R10A99,default,99.99.10.0/24,,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
R10A99,default,99.99.0.10/32,,AUTO/NONE(-1l),Loopback1,connected,0,0,
R10A99,default,99.99.51.0/24,,99.99.10.1,dynamic,ospf,2,110,
R10A99,default,99.99.0.51/32,,99.99.10.1,dynamic,ospf,3,110,
R10A99,default,99.99.0.99/32,,99.99.10.1,dynamic,ospf,2,110,
R10A99,default,179.10.0.0/24,,AUTO/NONE(-1l),FastEthernet0/1,connected,0,0,
R10A99,default,10.10.0.0/16,,179.10.0.2,dynamic,bgp,0,20,
R10A99,default,0.0.0.0/0,,99.99.0.99,dynamic,bgp,0,200,
R10A99,default,200.51.0.0/16,,99.99.0.51,dynamic,bgp,0,200,
R1A1,default,1.1.0.0/16,,1.1.1.2,dynamic,bgp,0,200,
R1A1,default,1.1.1.0/24,,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
R1A1,default,179.1.0.0/24,,AUTO/NONE(-1l),FastEthernet0/1,connected,0,0,
R1A1,default,0.0.0.0/0,,179.1.0.1,dynamic,bgp,0,20,
R1A10,default,179.10.0.0/24,,AUTO/NONE(-1l),FastEthernet0/1,connected,0,0,
R1A10,default,10.10.0.0/16,,10.10.1.2,dynamic,bgp,0,200,
R1A10,default,10.10.1.0/24,,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
R1A10,default,0.0.0.0/0,,179.10.0.1,dynamic,bgp,0,20,
R1A51,default,200.51.1.0/24,,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
R1A51,default,179.51.0.0/24,,AUTO/NONE(-1l),FastEthernet0/1,connected,0,0,
R1A51,default,0.0.0.0/0,,179.51.0.1,dynamic,bgp,0,20,
R1A51,default,200.51.0.0/16,,200.51.1.2,dynamic,bgp,0,200,
R1A99,default,1.1.0.0/16,,179.1.0.2,dynamic,bgp,0,20,
R1A99,default,99.99.1.0/24,,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
R1A99,default,99.99.0.1/32,,AUTO/NONE(-1l),Loopback1,connected,0,0,
R1A99,default,99.99.10.0/24,,99.99.1.1,dynamic,ospf,2,110,
R1A99,default,99.99.0.10/32,,99.99.1.1,dynamic,ospf,3,110,
R1A99,default,99.99.51.0/24,,99.99.1.1,dynamic,ospf,2,110,
R1A99,default,99.99.0.51/32,,99.99.1.1,dynamic,ospf,3,110,
R1A99,default,99.99.0.99/32,,99.99.1.1,dynamic,ospf,2,110,
R1A99,default,179.1.0.0/24,,AUTO/NONE(-1l),FastEthernet0/1,connected,0,0,
R1A99,default,10.10.0.0/16,,99.99.0.10,dynamic,bgp,0,200,
R1A99,default,0.0.0.0/0,,99.99.0.99,dynamic,bgp,0,200,
R1A99,default,200.51.0.0/16,,99.99.0.51,dynamic,bgp,0,200,
R2A1,default,1.1.0.0/16,,AUTO/NONE(-1l),null_interface,static,0,1,
R2A1,default,1.1.1.0/24,,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
R2A1,default,0.0.0.0/0,,1.1.1.1,dynamic,bgp,0,200,
R2A10,default,10.10.0.0/16,,AUTO/NONE(-1l),null_interface,static,0,1,
R2A10,default,10.10.1.0/24,,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
R2A10,default,0.0.0.0/0,,10.10.1.1,dynamic,bgp,0,200,
R2A51,default,200.51.1.0/24,,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
R2A51,default,0.0.0.0/0,,200.51.1.1,dynamic,bgp,0,200,
R2A51,default,200.51.0.0/16,,AUTO/NONE(-1l),null_interface,static,0,1,
R51A99,default,1.1.0.0/16,,99.99.0.1,dynamic,bgp,0,200,
R51A99,default,99.99.1.0/24,,99.99.51.1,dynamic,ospf,2,110,
R51A99,default,99.99.0.1/32,,99.99.51.1,dynamic,ospf,3,110,
R51A99,default,99.99.10.0/24,,99.99.51.1,dynamic,ospf,2,110,
R51A99,default,99.99.0.10/32,,99.99.51.1,dynamic,ospf,3,110,
